Format ID,AWS ID,Year,Month,Day,Hour,Minute,GNSS high i,latitude,longitude,AT/RH/P i,pressure_20_seconds,temperature_air_20_seconds,humidity_relative_20_seconds,Wind i,wind_direction_10_minute,wind_speed_10_minute,wind__gust_direction_10_minute,wind_gust_speed_10_minute,SST i,temperature_sea_surface_20_seconds,Vis i,horizontal_visibility_2_minute,Heave i,significant_wave_height,average_wave_period,Salinity_i,Surface_Salinity_PSU,Eng_Basic_i,Battery_voltage_Avg,Current_avg,AWS_internal_temperature,GPS_age,No_of_sats,Vessel_course_over_ground,Vessel_speed_over_ground,Eng_Solar_Power_i,Current_used_mAh,Current_generated_mAh,Solar Array Voltage,Eng_Pitch_Roll_i,Max_Pitch,Max_Roll,Pitch_Average,Roll_Average
2.0,6369.0,2024.0,7.0,3.0,16.0,0.0,1.0,49.4023,-8.5942,1.0,1013.321,15.33,80.0,1.0,318.0,10.9,329.0,14.0,1.0,16.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,185.0,18.5,0.0,9.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,16.0,0.0,1.0,49.4023,-8.5942,1.0,1013.273,15.28,80.2,1.0,317.0,10.7,293.0,13.4,1.0,16.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,18.4,0.0,10.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,17.0,0.0,1.0,49.4019,-8.5945,1.0,1013.706,15.227,77.7,1.0,317.0,10.8,308.0,14.4,1.0,16.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.7,0.0,7.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,17.0,0.0,1.0,49.4019,-8.5945,1.0,1013.564,15.246,78.5,1.0,315.0,10.7,290.0,14.7,1.0,16.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,181.0,17.6,0.0,9.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,18.0,0.0,1.0,49.4012,-8.5955,1.0,1014.216,15.169,80.1,1.0,318.0,10.3,321.0,12.9,1.0,16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,187.0,17.3,0.0,7.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,18.0,0.0,1.0,49.4012,-8.5955,1.0,1014.088,15.208,80.3,1.0,322.0,10.2,316.0,13.0,1.0,16.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,17.2,0.0,10.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,19.0,0.0,1.0,49.401,-8.5964,1.0,1014.416,15.219,77.6,1.0,321.0,10.4,328.0,13.5,1.0,16.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,185.0,17.0,0.0,8.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,19.0,0.0,1.0,49.401,-8.5964,1.0,1014.453,15.213,78.0,1.0,313.0,10.4,309.0,13.8,1.0,16.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.9,0.0,10.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,20.0,0.0,1.0,49.401,-8.5974,1.0,1014.995,15.214,78.9,1.0,321.0,10.9,327.0,14.4,1.0,16.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.9,0.0,8.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,20.0,0.0,1.0,49.401,-8.5974,1.0,1014.644,15.207,79.1,1.0,302.0,10.8,296.0,14.6,1.0,16.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,16.7,0.0,9.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,21.0,0.0,1.0,49.4011,-8.5973,1.0,1015.275,15.181,79.7,1.0,322.0,10.7,329.0,13.1,1.0,16.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.8,0.0,10.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,21.0,0.0,1.0,49.4011,-8.5973,1.0,1014.994,15.234,79.1,1.0,319.0,10.5,351.0,13.2,1.0,16.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.6,0.0,10.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,22.0,0.0,1.0,49.4013,-8.5972,1.0,1015.781,15.125,80.2,1.0,321.0,9.7,336.0,12.8,1.0,16.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.6,0.0,9.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,22.0,0.0,1.0,49.4013,-8.5972,1.0,1015.503,15.184,79.7,1.0,325.0,9.7,342.0,13.2,1.0,16.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.4,0.0,11.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,3.0,23.0,0.0,1.0,49.4015,-8.5958,1.0,1016.041,15.131,73.9,1.0,324.0,9.3,323.0,12.5,1.0,16.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.5,0.0,9.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,3.0,23.0,0.0,1.0,49.4015,-8.5958,1.0,1015.92,15.123,74.1,1.0,320.0,9.2,289.0,12.8,1.0,16.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,16.3,0.0,10.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,0.0,0.0,1.0,49.4016,-8.5955,1.0,1016.069,14.956,69.0,1.0,319.0,9.8,324.0,13.0,1.0,16.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.5,0.0,10.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,0.0,0.0,1.0,49.4017,-8.5955,1.0,1015.915,15.004,69.0,1.0,327.0,9.8,330.0,12.9,1.0,16.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,181.0,16.3,0.0,10.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,1.0,0.0,1.0,49.4018,-8.5953,1.0,1015.785,15.015,71.0,1.0,309.0,9.7,314.0,12.7,1.0,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,187.0,16.4,0.0,8.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,1.0,0.0,1.0,49.4018,-8.5953,1.0,1015.518,14.997,71.0,1.0,311.0,9.7,310.0,13.0,1.0,16.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,16.2,0.0,9.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,2.0,0.0,1.0,49.4017,-8.5952,1.0,1015.831,14.975,69.0,1.0,320.0,10.5,319.0,14.1,1.0,16.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,185.0,16.4,0.0,8.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,2.0,0.0,1.0,49.4017,-8.5952,1.0,1015.779,14.918,69.4,1.0,329.0,10.6,285.0,13.4,1.0,16.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,16.2,0.0,9.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,3.0,0.0,1.0,49.4016,-8.5952,1.0,1015.705,14.896,73.1,1.0,316.0,9.0,321.0,11.7,1.0,16.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.4,0.0,8.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,3.0,0.0,1.0,49.4016,-8.5952,1.0,1015.723,14.944,73.0,1.0,330.0,9.0,349.0,11.7,1.0,16.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.2,0.0,9.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,4.0,0.0,1.0,49.4014,-8.5953,1.0,1015.714,14.832,69.8,1.0,312.0,9.7,318.0,12.9,1.0,16.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.3,0.0,8.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,4.0,0.0,1.0,49.4014,-8.5953,1.0,1015.642,14.822,69.4,1.0,323.0,9.7,344.0,12.8,1.0,16.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,183.0,16.1,0.0,10.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,5.0,0.0,1.0,49.4013,-8.5957,1.0,1016.085,14.926,70.3,1.0,315.0,9.5,314.0,11.7,1.0,16.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.3,0.0,9.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,5.0,0.0,1.0,49.4013,-8.5957,1.0,1015.954,14.925,70.4,1.0,323.0,9.3,316.0,11.7,1.0,16.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,181.0,16.1,0.0,11.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,6.0,0.0,1.0,49.4012,-8.5958,1.0,1016.583,14.695,68.9,1.0,316.0,9.7,325.0,12.2,1.0,16.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.3,0.0,9.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,6.0,0.0,1.0,49.4012,-8.5958,1.0,1016.313,14.726,69.1,1.0,324.0,9.6,314.0,12.0,1.0,16.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,180.0,16.2,0.0,10.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,7.0,0.0,1.0,49.4012,-8.5964,1.0,1016.796,14.931,72.1,1.0,306.0,7.4,304.0,10.2,1.0,16.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,186.0,17.0,0.0,8.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,7.0,0.0,1.0,49.4012,-8.5964,1.0,1016.636,14.965,71.0,1.0,313.0,7.4,292.0,9.8,1.0,16.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,16.9,0.0,9.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,8.0,0.0,1.0,49.4012,-8.5968,1.0,1017.164,14.991,74.6,1.0,297.0,7.7,301.0,9.9,1.0,16.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,188.0,17.5,0.0,7.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,8.0,0.0,1.0,49.4012,-8.5968,1.0,1017.131,15.0,74.6,1.0,295.0,7.6,289.0,9.7,1.0,16.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,17.5,0.0,10.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,9.0,0.0,1.0,49.4013,-8.5977,1.0,1017.398,14.924,71.0,1.0,299.0,8.7,310.0,11.0,1.0,16.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.7,0.0,8.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,9.0,0.0,1.0,49.4013,-8.5976,1.0,1017.33,14.905,71.4,1.0,294.0,8.7,308.0,11.6,1.0,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,181.0,17.6,0.0,9.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,10.0,0.0,1.0,49.4015,-8.5976,1.0,1017.227,14.932,69.4,1.0,294.0,7.2,306.0,9.3,1.0,16.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,185.0,18.2,0.0,8.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,10.0,0.0,1.0,49.4015,-8.5976,1.0,1017.039,14.963,69.4,1.0,293.0,7.2,281.0,9.5,1.0,16.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,183.0,17.9,0.0,10.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,11.0,0.0,1.0,49.4029,-8.5945,1.0,1016.845,15.169,71.0,1.0,273.0,7.0,274.0,9.7,1.0,16.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,186.0,18.6,0.0,10.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,11.0,0.0,1.0,49.4029,-8.5944,1.0,1016.834,15.176,70.6,1.0,268.0,7.1,262.0,10.1,1.0,16.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,18.3,0.0,10.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,12.0,0.0,1.0,49.4043,-8.5945,1.0,1016.812,15.332,71.8,1.0,266.0,8.0,275.0,10.5,1.0,16.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,18.6,0.0,8.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,12.0,0.0,1.0,49.4043,-8.5945,1.0,1016.659,15.312,71.7,1.0,266.0,8.1,290.0,10.7,1.0,16.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,181.0,18.5,0.0,9.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,13.0,0.0,1.0,49.4044,-8.5945,1.0,1016.484,15.321,74.1,1.0,261.0,7.6,246.0,9.4,1.0,16.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,185.0,18.6,0.0,9.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,13.0,0.0,1.0,49.4044,-8.5945,1.0,1016.301,15.388,74.0,1.0,261.0,7.6,239.0,9.8,1.0,16.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,18.5,0.0,11.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,14.0,0.0,1.0,49.4042,-8.5941,1.0,1015.81,15.445,75.6,1.0,251.0,9.6,261.0,11.5,1.0,16.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,18.6,0.0,9.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,14.0,0.0,1.0,49.4042,-8.5941,1.0,1015.77,15.549,75.2,1.0,259.0,9.5,237.0,11.7,1.0,16.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,18.6,0.0,11.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,15.0,0.0,1.0,49.4042,-8.594,1.0,1015.356,15.374,75.6,1.0,244.0,9.5,254.0,11.9,1.0,16.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,186.0,18.4,0.0,9.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,15.0,0.0,1.0,49.4042,-8.594,1.0,1015.113,15.397,75.2,1.0,250.0,9.4,259.0,11.6,1.0,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,18.4,0.0,9.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,16.0,0.0,1.0,49.4039,-8.5939,1.0,1014.864,15.332,79.3,1.0,243.0,10.9,261.0,13.8,1.0,16.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,18.0,0.0,9.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,16.0,0.0,1.0,49.4039,-8.5939,1.0,1014.824,15.389,78.6,1.0,248.0,10.8,241.0,13.7,1.0,16.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,17.9,0.0,9.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,17.0,0.0,1.0,49.4034,-8.5938,1.0,1014.238,15.235,81.0,1.0,248.0,10.4,251.0,13.1,1.0,16.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.4,0.0,7.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,17.0,0.0,1.0,49.4034,-8.5938,1.0,1014.14,15.246,80.4,1.0,260.0,10.4,239.0,12.8,1.0,16.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,183.0,17.3,0.0,9.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,18.0,0.0,1.0,49.4032,-8.5939,1.0,1013.041,15.5,83.5,1.0,240.0,11.8,234.0,15.4,1.0,16.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.0,0.0,9.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,18.0,0.0,1.0,49.4032,-8.5939,1.0,1013.104,15.572,82.8,1.0,247.0,11.7,230.0,15.6,1.0,16.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,183.0,16.8,0.0,10.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,19.0,0.0,1.0,49.4023,-8.5943,1.0,1012.957,15.1,90.8,1.0,245.0,12.1,237.0,15.5,1.0,16.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.5,0.0,8.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,19.0,0.0,1.0,49.4023,-8.5943,1.0,1013.011,15.211,89.4,1.0,252.0,12.3,216.0,15.4,1.0,16.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,16.4,0.0,10.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,20.0,0.0,1.0,49.4018,-8.5952,1.0,1012.284,15.367,94.0,1.0,246.0,11.9,256.0,15.0,1.0,16.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,183.0,16.4,0.0,8.0,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,20.0,0.0,1.0,49.4017,-8.5952,1.0,1012.348,15.49,92.6,1.0,249.0,12.2,252.0,15.4,1.0,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,181.0,16.3,0.0,9.0,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,21.0,0.0,1.0,49.4016,-8.5962,1.0,1011.942,15.887,94.5,1.0,250.0,11.1,246.0,13.8,1.0,16.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,16.7,0.0,10.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,21.0,0.0,1.0,49.4016,-8.5962,1.0,1011.905,15.97,93.2,1.0,253.0,11.5,236.0,14.3,1.0,16.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,183.0,16.6,0.0,10.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,22.0,0.0,1.0,49.4025,-8.5947,1.0,1011.907,16.079,95.1,1.0,254.0,10.5,246.0,13.6,1.0,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,186.0,17.1,0.0,8.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,22.0,0.0,1.0,49.4025,-8.5947,1.0,1011.605,16.186,93.9,1.0,249.0,11.0,246.0,13.9,1.0,16.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,17.0,0.0,11.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,4.0,23.0,0.0,1.0,49.4044,-8.5947,1.0,1011.345,16.24,95.8,1.0,256.0,10.7,269.0,13.4,1.0,16.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.4,0.0,9.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,4.0,23.0,0.0,1.0,49.4044,-8.5947,1.0,1011.33,16.272,94.5,1.0,264.0,10.8,285.0,14.9,1.0,16.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,17.2,0.0,11.0,2.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,5.0,0.0,0.0,1.0,49.4046,-8.5947,1.0,1010.749,16.194,96.2,1.0,255.0,11.3,269.0,14.8,1.0,16.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.5,0.0,9.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,5.0,0.0,0.0,1.0,49.4046,-8.5947,1.0,1010.862,16.277,94.8,1.0,262.0,11.5,270.0,14.6,1.0,16.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.3,0.0,10.0,2.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,5.0,1.0,0.0,1.0,49.4043,-8.5942,1.0,1010.224,16.211,96.5,1.0,261.0,11.1,267.0,13.7,1.0,16.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,185.0,17.5,0.0,5.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,44912.0,2024.0,7.0,5.0,1.0,0.0,1.0,49.4043,-8.5942,1.0,1010.234,16.26,95.2,1.0,273.0,11.1,225.0,14.3,1.0,16.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,182.0,17.3,0.0,9.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,6369.0,2024.0,7.0,5.0,2.0,0.0,1.0,49.4046,-8.5944,1.0,1009.89,16.143,96.6,1.0,261.0,10.5,269.0,12.8,1.0,16.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.4,184.0,17.5,0.0,7.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
